Dates,EURUSD Curncy,EURUSD ECB Curncy,MXWO Index,MSEIAFUG Index,MSDUWI Index,MXWO Index,MXWD Index,MXEF Index,LBEATREU Index,JPMGEMUI Index,LF98TRUU Index,H4DC Index,MSDEWIN Index,NDUEEGF Index,EEM UP Equity,RORA NA Equity,IBOXHY Index,HYG UP Equity,VIX Index,VDAX Index
1/1/2001,0.9395,0.9305,1221.25,#N/A N/A,1221.253,1221.25,290.1,333.46,112.9435,166.012,517.12,#N/A N/A,135.668,99.902,#N/A N/A,36.7,105.2787,#N/A N/A,26.85,23.37
1/2/2001,0.9462,0.9423,1201.87,#N/A N/A,1201.872,1201.87,285.72,333.35,113.5442,166.078,518.34,101.797,132.306,100.016,#N/A N/A,36.525,105.546,#N/A N/A,29.99,24.29
1/3/2001,0.945,0.953,1227.49,#N/A N/A,1227.486,1227.49,291.6,335.52,113.678,167.292,518.07,102,135.369,100.67,#N/A N/A,36.575,107.0613,#N/A N/A,26.6,25.09
1/4/2001,0.9477,0.9458,1227.17,#N/A N/A,1227.168,1227.17,292.04,347.23,113.6877,167.305,520.66,102.611,135.507,104.187,#N/A N/A,36.95,107.4968,#N/A N/A,26.97,23.92
1/5/2001,0.957,0.9545,1211.43,#N/A N/A,1211.43,1211.43,288.54,348.56,113.9309,167.698,523.05,103.117,132.778,104.584,#N/A N/A,36.475,107.9566,#N/A N/A,28.67,23.71
1/8/2001,0.9485,0.9497,1206.86,#N/A N/A,1206.864,1206.86,287.49,348.12,113.9562,167.613,524.19,103.581,132.536,104.459,#N/A N/A,36.6,108.6576,#N/A N/A,29.84,24.26
1/9/2001,0.9417,0.9401,1200.3,#N/A N/A,1200.297,1200.3,286.18,351.87,113.69,167.186,527,103.964,133.113,105.584,#N/A N/A,37,109.6928,#N/A N/A,27.99,23.99
1/10/2001,0.9413,0.9412,1202.42,#N/A N/A,1202.419,1202.42,286.55,349.46,113.4436,166.901,526.85,104.261,133.33,104.861,#N/A N/A,36.95,110.4936,#N/A N/A,26.8,23.75
1/11/2001,0.9535,0.9523,1213.18,#N/A N/A,1213.185,1213.18,289.01,350.26,113.5986,167.05,532.7,105.144,133.232,105.103,#N/A N/A,36.725,111.0519,#N/A N/A,25.79,22.34
1/12/2001,0.9513,0.9545,1211.98,#N/A N/A,1211.981,1211.98,288.87,353.23,113.2434,166.48,534.31,105.517,133.262,105.994,#N/A N/A,36.4,111.0739,#N/A N/A,24.56,21.21
1/15/2001,0.9422,0.9428,1210.64,#N/A N/A,1210.638,1210.64,288.63,354.72,113.3446,166.569,534.31,105.552,134.075,106.44,#N/A N/A,36.375,111.0739,#N/A N/A,24.56,20.9
1/16/2001,0.9396,0.9412,1212.34,#N/A N/A,1212.339,1212.34,289.09,356.39,113.2851,166.463,535.9,105.639,134.418,106.941,#N/A N/A,36.55,111.0701,#N/A N/A,25.28,21.17
1/17/2001,0.9317,0.9396,1219.39,#N/A N/A,1219.386,1219.39,290.85,360.19,113.3792,166.636,537.35,106.052,136.729,108.087,#N/A N/A,36.675,111.6312,#N/A N/A,24.93,20.38
1/18/2001,0.9426,0.9404,1233.7,#N/A N/A,1233.699,1233.7,294.29,365.01,113.5097,166.85,540.37,106.413,136.269,109.535,#N/A N/A,36.575,112.2812,#N/A N/A,23.37,20
1/19/2001,0.9342,0.94,1229.6,#N/A N/A,1229.599,1229.6,293.6,370.48,113.4492,166.651,540.79,106.694,137.182,111.188,#N/A N/A,36.7,112.4682,#N/A N/A,23.24,19.16
1/22/2001,0.9373,0.929,1229.82,#N/A N/A,1229.822,1229.82,293.64,370.36,113.4031,166.532,540.88,106.847,137.172,111.152,#N/A N/A,36.85,112.2125,#N/A N/A,23.25,19.48
1/23/2001,0.9379,0.9407,1238.2,#N/A N/A,1238.199,1238.2,295.62,372.29,113.5701,166.825,542.77,106.968,137.533,111.736,#N/A N/A,36.6,112.0427,#N/A N/A,21.57,19
1/24/2001,0.9263,0.9294,1236.39,#N/A N/A,1236.389,1236.39,295.19,371.82,113.3274,166.458,545.15,106.988,139.773,111.594,#N/A N/A,36.85,112.0511,#N/A N/A,22.03,18.73
1/25/2001,0.9226,0.9146,1233.86,#N/A N/A,1233.857,1233.86,294.63,372.2,113.2718,166.404,546.87,107.104,139.896,111.709,#N/A N/A,36.875,111.9675,#N/A N/A,22.64,18.31
1/26/2001,0.9244,0.9228,1231.86,#N/A N/A,1231.862,1231.86,294.12,370.79,113.3835,166.646,547.86,107.193,139.398,111.287,#N/A N/A,37,111.9928,#N/A N/A,22.57,18.23
1/29/2001,0.9189,0.9193,1236.39,#N/A N/A,1236.392,1236.39,295.1,369.83,113.5008,166.761,549.18,107.215,140.448,110.997,#N/A N/A,37,111.8491,#N/A N/A,22.61,18.74
1/30/2001,0.9272,0.9197,1243.55,#N/A N/A,1243.546,1243.55,296.87,373.27,113.7019,167.02,549.73,107.454,140.341,112.033,#N/A N/A,37.25,112.1438,#N/A N/A,22.57,19.05
1/31/2001,0.9302,0.9293,1244.22,#N/A N/A,1244.222,1244.22,297.27,379.02,113.898,167.375,555.86,107.864,139.603,113.758,#N/A N/A,37.125,112.7884,#N/A N/A,22.02,19.22
2/1/2001,0.9414,0.9406,1249.18,#N/A N/A,1249.184,1249.18,298.33,377.64,113.9337,167.412,557.07,108.24,138.63,113.344,#N/A N/A,37,112.8277,#N/A N/A,21.66,18.16
2/2/2001,0.9364,0.9407,1229.95,#N/A N/A,1229.947,1229.95,293.95,376.73,113.9517,167.49,557.62,108.211,137.504,113.072,#N/A N/A,37.3,113.0175,#N/A N/A,21.95,18.01
2/5/2001,0.94,0.9425,1232.54,#N/A N/A,1232.543,1232.54,294.26,370.33,114.1191,167.722,558.36,108.449,136.821,111.152,#N/A N/A,37.1,113.3793,#N/A N/A,22.19,18.17
2/6/2001,0.9297,0.9322,1230.11,#N/A N/A,1230.114,1230.11,293.76,371.5,114.0847,167.637,557.66,108.468,137.806,111.504,#N/A N/A,37.25,113.3288,#N/A N/A,21.98,17.45
2/7/2001,0.9337,0.9325,1219.2,#N/A N/A,1219.203,1219.2,291.04,365.51,114.1966,167.83,559.07,108.52,136.427,109.706,#N/A N/A,37.3,113.3842,#N/A N/A,21.67,17.82
2/8/2001,0.9184,0.922,1207.95,#N/A N/A,1207.946,1207.95,288.6,367.76,113.9981,167.533,559.41,108.642,137.214,110.383,#N/A N/A,37.325,113.7184,#N/A N/A,21.46,17.12
2/9/2001,0.9242,0.9227,1194.63,#N/A N/A,1194.633,1194.63,285.61,368.18,114.1513,167.786,560.13,108.92,134.881,110.508,#N/A N/A,37.4,113.8114,#N/A N/A,22.03,17.48
2/12/2001,0.9292,0.9288,1207.96,#N/A N/A,1207.956,1207.96,288.64,368.65,114.2038,167.822,560.79,109.053,135.594,110.649,#N/A N/A,37.35,114.0778,#N/A N/A,21.92,17.64
2/13/2001,0.9185,0.9275,1198.79,#N/A N/A,1198.793,1198.79,286.65,370.43,114.2592,167.924,561.57,108.979,135.805,111.184,#N/A N/A,37.35,113.971,#N/A N/A,21.37,17.33
2/14/2001,0.9192,0.9178,1191.44,#N/A N/A,1191.436,1191.44,284.93,369.06,114.1399,167.754,561.79,109.033,135.388,110.8,#N/A N/A,37.55,113.8989,#N/A N/A,21.52,18.2
2/15/2001,0.9057,0.909,1196.28,#N/A N/A,1196.277,1196.28,286.18,372.71,113.7906,167.213,562.99,108.938,138.184,111.895,#N/A N/A,37.5,113.8867,#N/A N/A,20.27,17.09
2/16/2001,0.915,0.9113,1180.34,#N/A N/A,1180.341,1180.34,282.43,369.21,113.9183,167.382,562.8,109.015,134.536,110.844,#N/A N/A,37.5,113.8622,#N/A N/A,22.12,17.9
2/19/2001,0.9212,0.9213,1179.56,#N/A N/A,1179.557,1179.56,282.11,365.83,114.0308,167.51,562.8,109.114,133.733,109.847,#N/A N/A,37.475,113.8622,#N/A N/A,22.12,18.18
2/20/2001,0.9094,0.907,1162.4,#N/A N/A,1162.402,1162.4,278.26,366.33,113.959,167.376,562.48,108.902,133.5,109.999,#N/A N/A,37.475,113.5846,#N/A N/A,24.69,18.55
2/21/2001,0.9089,0.9146,1146.8,#N/A N/A,1146.804,1146.8,274.33,357.03,113.8643,167.313,561.87,108.573,131.252,107.208,#N/A N/A,37.475,112.7328,#N/A N/A,25.75,18.76
2/22/2001,0.9039,0.9056,1142.87,#N/A N/A,1142.867,1142.87,273.15,350.42,113.7915,167.16,561.18,108.356,131.437,105.26,#N/A N/A,37.55,112.4978,#N/A N/A,26.76,19.39
2/23/2001,0.9176,0.9064,1134.8,#N/A N/A,1134.801,1134.8,271.23,348.09,113.9401,167.388,561.22,108.369,130.446,104.559,#N/A N/A,37.5,112.4628,#N/A N/A,27.21,21.42
2/26/2001,0.9103,0.9105,1150.12,#N/A N/A,1150.115,1150.12,274.83,351.24,114.0439,167.46,561.3,108.551,132.013,105.507,#N/A N/A,37.35,112.6357,#N/A N/A,25.43,20.36
2/27/2001,0.9137,0.9163,1149.08,#N/A N/A,1149.075,1149.08,274.54,350.1,114.4104,168.093,561.45,108.852,130.605,105.164,#N/A N/A,37.375,112.9354,#N/A N/A,26.49,19.99
2/28/2001,0.9226,0.9248,1137.88,#N/A N/A,1137.879,1137.88,271.97,349.02,114.4583,168.216,563.26,109.005,129.228,104.841,#N/A N/A,37.425,112.741,#N/A N/A,28.35,20.18
3/1/2001,0.9309,0.9269,1137.19,#N/A N/A,1137.194,1137.19,271.74,347.34,114.479,168.234,563.45,109.135,127.749,104.335,#N/A N/A,37.175,112.7941,#N/A N/A,28.08,20.73
3/2/2001,0.9358,0.9363,1130.22,#N/A N/A,1130.224,1130.22,270.02,344.01,114.5347,168.288,562.64,108.936,126.179,103.336,#N/A N/A,37.15,112.6016,#N/A N/A,27.43,20
3/5/2001,0.9294,0.9305,1135.52,#N/A N/A,1135.516,1135.52,271.29,345.75,114.428,168.065,562.78,108.899,127.668,103.909,#N/A N/A,36.9,112.5647,#N/A N/A,27.12,19.9
3/6/2001,0.9324,0.9279,1149.1,#N/A N/A,1149.102,1149.1,274.48,348.58,114.5006,168.157,563.25,109.046,129.002,104.759,#N/A N/A,36.925,112.7415,#N/A N/A,25.89,18.43
3/7/2001,0.927,0.9307,1152.02,#N/A N/A,1152.015,1152.02,275.18,349.53,114.5472,168.281,564.32,109.228,129.784,105.053,#N/A N/A,36.75,113.5291,#N/A N/A,24.12,17.91
3/8/2001,0.9306,0.9312,1152.92,#N/A N/A,1152.918,1152.92,275.43,350.59,114.7584,168.663,564.65,109.464,129.245,105.382,#N/A N/A,36.8,113.7194,#N/A N/A,24.29,18.08
3/9/2001,0.9328,0.9357,1133.75,#N/A N/A,1133.747,1133.75,270.92,346.43,114.7768,168.635,564.22,109.492,127.105,104.144,#N/A N/A,36.875,113.4618,#N/A N/A,25.62,18.64
3/12/2001,0.9276,0.9272,1093.1,#N/A N/A,1093.098,1093.1,261.26,335.08,114.8488,168.74,564.47,109.163,122.903,100.872,#N/A N/A,36.85,112.8622,#N/A N/A,30.32,20.82
3/13/2001,0.9139,0.9202,1090.84,#N/A N/A,1090.841,1090.84,260.61,332.02,114.7385,168.517,561.79,108.898,124.258,99.984,#N/A N/A,37.125,112.7502,#N/A N/A,27.55,21.52
